lemma,categ,categ_alt,Contentword,proposed_lemma,proposed_categ,proposed_CW
gentiment,ADV,adv,Y,gentiment,ADV,Y
germer,VER,v,Y,germer,VER,Y
geste,NOM,n,Y,geste,NOM,Y
girouette,NOM,n,Y,girouette,NOM,Y
glacer,ADJ,v,Y,glacer,ADJ,Y
globe,NOM,n,Y,globe,NOM,Y
golf,NOM,n,Y,golf,NOM,Y
gonfler,VER,v,Y,gonfler,VER,Y
goutte,NOM,n,Y,goutte,NOM,Y
gouvernement,NOM,n,Y,gouvernement,NOM,Y
gracieras,VER,n,Y,gracieras,VER,Y
graine,NOM,n,Y,graine,NOM,Y
grammaire,NOM,n,Y,grammaire,NOM,Y
grand,ADJ,adj,Y,grand,ADJ,Y
grand,XXX,adj,Y,grand,XXX,Y
grand-chose,ADJ,n,Y,grand-chose,ADJ,Y
grandiose,ADJ,adj,Y,grandiose,ADJ,Y
grandir,VER,v,Y,grandir,VER,Y
granit,NOM,n,Y,granit,NOM,Y
grave,ADJ,adj,Y,grave,ADJ,Y
gravement,ADV,adv,Y,gravement,ADV,Y
grelot,NOM,n,Y,grelot,NOM,Y
griffe,NOM,n,Y,griffe,NOM,Y
griffonner,VER,v,Y,griffonner,VER,Y
grincheux,ADJ,adj,Y,grincheux,ADJ,Y
gronder,VER,v,Y,gronder,VER,Y
gros,ADJ,adj,Y,gros,ADJ,Y
gros,ADJ,n,Y,gros,ADJ,Y
grâce,PRE,n,Y,grâce,PRE,Y
guerre,NOM,n,Y,guerre,NOM,Y
guide,NOM,n,Y,guide,NOM,Y
guère,ADV,advneg,Y,guère,ADV,Y
gère,VER,n,Y,gère,VER,Y
gémir,VER,v,Y,gémir,VER,Y
général,NOM,n,Y,général,NOM,Y
géographe,NOM,n,Y,géographe,NOM,Y
géographe,NOM,nc,Y,géographe,NOM,Y
géographe,NOM,v,Y,géographe,NOM,Y
géographie,NOM,n,Y,géographie,NOM,Y
géranium,NOM,n,Y,géranium,NOM,Y
gêne,VER,n,Y,gêne,VER,Y
gêner,ADJ,v,Y,gêner,ADJ,Y
gêner,VER,v,Y,gêner,VER,Y
habiller,VER,v,Y,habiller,VER,Y
habit,NOM,n,Y,habit,NOM,Y
habitant,NOM,n,Y,habitant,NOM,Y
habiter,ADJ,v,Y,habiter,ADJ,Y
habiter,VER,v,Y,habiter,VER,Y
habiterai,VER,n,Y,habiterai,VER,Y
halte,ONO,v,Y,halte,ONO,Y
hanneton,NOM,n,Y,hanneton,NOM,Y
hasard,NOM,n,Y,hasard,NOM,Y
hasard,NOM,v,Y,hasard,NOM,Y
hausser,VER,v,Y,hausser,VER,Y
hausser,XXX,v,Y,hausser,XXX,Y
haut,ADJ,adj,Y,haut,ADJ,Y
haute,ADJ,n,Y,haute,ADJ,Y
hem,ONO,n,Y,hem,ONO,Y
herbe,NOM,n,Y,herbe,NOM,Y
hermine,NOM,n,Y,hermine,NOM,Y
heure,NOM,n,Y,heure,NOM,Y
heureusement,ADV,adv,Y,heureusement,ADV,Y
heureux,ADJ,adj,Y,heureux,ADJ,Y
hisser,VER,v,Y,hisser,VER,Y
histoire,NOM,n,Y,histoire,NOM,Y
hocher,VER,v,Y,hocher,VER,Y
homme,NOM,n,Y,homme,NOM,Y
homme,XXX,n,Y,homme,XXX,Y
honnête,ADJ,n,Y,honnête,ADJ,Y
honte,NOM,n,Y,honte,NOM,Y
honte,NOM,nc,Y,honte,NOM,Y
horreur,NOM,n,Y,horreur,NOM,Y
horreur,NOM,v,Y,horreur,NOM,Y
hors,PRE,prep,Y,hors,PRE,Y
huit,ADJ,n,Y,huit,ADJ,Y
huitième,NOM,adj,Y,huitième,NOM,Y
hum,ONO,n,Y,hum,ONO,Y
humanité,NOM,n,Y,humanité,NOM,Y
humeur,NOM,n,Y,humeur,NOM,Y
humilier,VER,n,Y,humilier,VER,Y
humilier,VER,v,Y,humilier,VER,Y
hâte,NOM,n,Y,hâte,NOM,Y
hâter,VER,v,Y,hâter,VER,Y
hésitant,VER,n,Y,hésitant,VER,Y
hésiter,VER,v,Y,hésiter,VER,Y
ici,ADV,adv,N,ici,ADV,N
idée,NOM,n,Y,idée,NOM,Y
idée,NOM,v,Y,idée,NOM,Y
ignorer,VER,v,Y,ignorer,VER,Y
il,PRO,cln,N,il,PRO,N
il,PRO,cln,Y,il,PRO,Y
il,XXX,cln,N,il,XXX,N
illuminer,VER,v,Y,illuminer,VER,Y
illuminé,VER,adj,Y,illuminé,VER,Y
image,NOM,n,Y,image,NOM,Y
imagination,NOM,n,Y,imagination,NOM,Y
imaginer,VER,v,Y,imaginer,VER,Y
immensité,NOM,n,Y,immensité,NOM,Y
immobile,ADJ,adj,Y,immobile,ADJ,Y
impitoyable,ADJ,adj,Y,impitoyable,ADJ,Y
importance,NOM,n,Y,importance,NOM,Y
important,ADJ,adj,Y,important,ADJ,Y
importer,VER,v,Y,importer,VER,Y
imposa,VER,n,Y,imposa,VER,Y
impressionner,ADJ,adv,Y,impressionner,ADJ,Y
inconvénient,NOM,n,Y,inconvénient,NOM,Y
inde,NOM,n,Y,inde,NOM,Y
indication,NOM,n,Y,indication,NOM,Y
indiscipline,NOM,n,Y,indiscipline,NOM,Y
indulgence,NOM,n,Y,indulgence,NOM,Y
indulgent,ADJ,adj,Y,indulgent,ADJ,Y
infliger,VER,v,Y,infliger,VER,Y
informer,VER,v,Y,informer,VER,Y
injuste,ADJ,adj,Y,injuste,ADJ,Y
inoffensif,ADJ,adj,Y,inoffensif,ADJ,Y
inquiéter,VER,v,Y,inquiéter,VER,Y
installation,NOM,n,Y,installation,NOM,Y
installer,VER,v,Y,installer,VER,Y
instant,NOM,n,Y,instant,NOM,Y
instruire,VER,v,Y,instruire,VER,Y
insuccès,NOM,n,Y,insuccès,NOM,Y
intelligence,NOM,n,Y,intelligence,NOM,Y
intelligent,ADJ,n,Y,intelligent,ADJ,Y
interdis,VER,n,Y,interdis,VER,Y
international,ADJ,adj,Y,international,ADJ,Y
interroge,VER,n,Y,interroge,VER,Y
interrogea,VER,n,Y,interrogea,VER,Y
interroger,VER,v,Y,interroger,VER,Y
interrompre,VER,v,Y,interrompre,VER,Y
intimide,VER,n,Y,intimide,VER,Y
intriguer,VER,v,Y,intriguer,VER,Y
intrigué,VER,adj,Y,intrigué,VER,Y
intéressant,ADJ,adj,Y,intéressant,ADJ,Y
intéressants,ADJ,n,Y,intéressants,ADJ,Y
intéresser,VER,v,Y,intéresser,VER,Y
intérieur,NOM,n,Y,intérieur,NOM,Y
intérêt,NOM,n,Y,intérêt,NOM,Y
inutile,ADJ,adj,Y,inutile,ADJ,Y
invention,NOM,n,Y,invention,NOM,Y
inverse,NOM,adj,Y,inverse,NOM,Y
invisible,ADJ,adj,Y,invisible,ADJ,Y
ira,VER,n,Y,ira,VER,Y
irriter,VER,v,Y,irriter,VER,Y
irrité,VER,n,Y,irrité,VER,Y
irréparable,ADJ,n,Y,irréparable,ADJ,Y
isolé,ADJ,n,Y,isolé,ADJ,Y
ivrogne,NOM,n,Y,ivrogne,NOM,Y
jamais,ADV,adv,Y,jamais,ADV,Y
jambe,NOM,n,Y,jambe,NOM,Y
jardin,NOM,n,Y,jardin,NOM,Y
jaune,ADJ,adj,Y,jaune,ADJ,Y
je,PRO,pro,N,je,PRO,N
je,XXX,pro,N,je,XXX,N
jet,NOM,n,Y,jet,NOM,Y
jeter,VER,v,Y,jeter,VER,Y
jeu,NOM,n,Y,jeu,NOM,Y
jeudi,NOM,n,Y,jeudi,NOM,Y
jeune,ADJ,adj,Y,jeune,ADJ,Y
joli,ADJ,adj,Y,joli,ADJ,Y
joli,ADJ,n,Y,joli,ADJ,Y
joli,ADJ,v,Y,joli,ADJ,Y
jolie,ADJ,v,Y,jolie,ADJ,Y
jolis,ADJ,v,Y,jolis,ADJ,Y
jouer,VER,v,Y,jouer,VER,Y
jour,NOM,n,Y,jour,NOM,Y
journée,NOM,n,Y,journée,NOM,Y
juge,NOM,n,Y,juge,NOM,Y
juger,VER,v,Y,juger,VER,Y
jungle,NOM,n,Y,jungle,NOM,Y
jusque,XXX,prep,Y,jusque,XXX,Y
juste,ADJ,adv,Y,juste,ADJ,Y
justement,ADV,adv,Y,justement,ADV,Y
justice,NOM,n,Y,justice,NOM,Y
laid,ADJ,v,Y,laid,ADJ,Y
laisse,VER,n,Y,laisse,VER,Y
laisser,VER,v,Y,laisser,VER,Y
lampe,NOM,n,Y,lampe,NOM,Y
lampion,NOM,n,Y,lampion,NOM,Y
lancer,VER,v,Y,lancer,VER,Y
langage,NOM,n,Y,langage,NOM,Y
lança,VER,n,Y,lança,VER,Y
large,ADJ,n,Y,large,ADJ,Y
larme,NOM,n,Y,larme,NOM,Y
lassitude,NOM,n,Y,lassitude,NOM,Y
le,ART,det,N,le,ART,N
le,ART,det,Y,le,ART,Y
lendemain,NOM,n,Y,lendemain,NOM,Y
lentement,ADV,adv,Y,lentement,ADV,Y
lever,VER,adv,Y,lever,VER,Y
lever,VER,v,Y,lever,VER,Y
leçon,NOM,n,Y,leçon,NOM,Y
lien,NOM,n,Y,lien,NOM,Y
lieu,NOM,n,Y,lieu,NOM,Y
lire,VER,v,Y,lire,VER,Y
livre,NOM,n,Y,livre,NOM,Y
locomotive,NOM,n,Y,locomotive,NOM,Y
loger,VER,v,Y,loger,VER,Y
loin,ADV,adv,Y,loin,ADV,Y
long,ADJ,adj,Y,long,ADJ,Y
long,ADJ,n,Y,long,ADJ,Y
longtemps,ADV,adv,Y,longtemps,ADV,Y
lorsque,CON,csu,Y,lorsque,CON,Y
lorsque,XXX,csu,Y,lorsque,XXX,Y
louange,NOM,n,Y,louange,NOM,Y
lourd,ADV,n,Y,lourd,ADV,Y
lucide,ADJ,adj,Y,lucide,ADJ,Y
lueur,NOM,n,Y,lueur,NOM,Y
lugubre,ADJ,adj,Y,lugubre,ADJ,Y
lui,PRO,pro,N,lui,PRO,N
lui,PRO,pro,Y,lui,PRO,Y
lui-même,PRO,pro,N,lui-même,PRO,N
lumière,NOM,n,Y,lumière,NOM,Y
lune,NOM,n,Y,lune,NOM,Y
lune,NOM,nc,Y,lune,NOM,Y
là,ADV,adv,N,là,ADV,N
là-bas,ADV,adv,N,là-bas,ADV,N
là-bas,ADV,n,N,là-bas,ADV,N
là-dessus,ADV,n,N,là-dessus,ADV,N
là-haut,ADV,v,N,là-haut,ADV,N
lâcher,VER,v,Y,lâcher,VER,Y
lèvre,NOM,n,Y,lèvre,NOM,Y
légende,NOM,n,Y,légende,NOM,Y
léger,ADJ,adj,Y,léger,ADJ,Y
légère,ADJ,n,Y,légère,ADJ,Y
machine,NOM,n,Y,machine,NOM,Y
magnifique,ADJ,adj,Y,magnifique,ADJ,Y
magnifique,ADJ,n,Y,magnifique,ADJ,Y
main,NOM,n,Y,main,NOM,Y
maintenant,ADV,adv,Y,maintenant,ADV,Y
maison,NOM,n,Y,maison,NOM,Y
majestueusement,ADV,v,Y,majestueusement,ADV,Y
majestueux,ADJ,adj,Y,majestueux,ADJ,Y
mal,ADV,adv,Y,mal,ADV,Y
mal,ADV,n,Y,mal,ADV,Y
malade,ADJ,adj,Y,malade,ADJ,Y
maladroit,ADJ,adj,Y,maladroit,ADJ,Y
malentendu,NOM,n,Y,malentendu,NOM,Y
malgré,PRE,prep,Y,malgré,PRE,Y
malheur,NOM,n,Y,malheur,NOM,Y
malheureusement,ADV,adv,Y,malheureusement,ADV,Y
malheureux,ADJ,adj,Y,malheureux,ADJ,Y
mange,VER,n,Y,mange,VER,Y
manger,VER,v,Y,manger,VER,Y
manger,XXX,v,Y,manger,XXX,Y
manquer,VER,v,Y,manquer,VER,Y
manteau,NOM,n,Y,manteau,NOM,Y
manteau,NOM,nc,Y,manteau,NOM,Y
marchand,NOM,n,Y,marchand,NOM,Y
marche,VER,n,Y,marche,VER,Y
marcher,NOM,v,Y,marcher,NOM,Y
marcher,VER,v,Y,marcher,VER,Y
marcheras,VER,n,Y,marcheras,VER,Y
margelle,NOM,n,Y,margelle,NOM,Y
mars,NOM,n,Y,mars,NOM,Y
marteau,NOM,n,Y,marteau,NOM,Y
matin,NOM,n,Y,matin,NOM,Y
mauvais,ADJ,adj,Y,mauvais,ADJ,Y
mauvais,ADJ,n,Y,mauvais,ADJ,Y
meeting,NOM,n,Y,meeting,NOM,Y
meilleur,ADJ,adj,Y,meilleur,ADJ,Y
menacer,VER,v,Y,menacer,VER,Y
mener,VER,v,Y,mener,VER,Y
mensonge,NOM,n,Y,mensonge,NOM,Y
mentir,VER,v,Y,mentir,VER,Y
mer,NOM,n,Y,mer,NOM,Y
mer,NOM,v,Y,mer,NOM,Y
merveilleux,ADJ,adj,Y,merveilleux,ADJ,Y
messe,NOM,n,Y,messe,NOM,Y
mesure,NOM,n,Y,mesure,NOM,Y
mettre,VER,v,Y,mettre,VER,Y
meurt,VER,n,Y,meurt,VER,Y
midi,NOM,nc,Y,midi,NOM,Y
miel,NOM,n,Y,miel,NOM,Y
mienne,PRO,n,Y,mienne,PRO,Y
miennes,PRO,n,Y,miennes,PRO,Y
mieux,ADV,adv,Y,mieux,ADV,Y
migration,NOM,n,Y,migration,NOM,Y
milieu,NOM,n,Y,milieu,NOM,Y
mille,ADJ,n,Y,mille,ADJ,Y
mille,ADJ,nc,Y,mille,ADJ,Y
mille,ADJ,v,Y,mille,ADJ,Y
mille,NOM,n,Y,mille,NOM,Y
milliard,NOM,n,Y,milliard,NOM,Y
million,NOM,n,Y,million,NOM,Y
mince,ONO,n,Y,mince,ONO,Y
ministre,NOM,n,Y,ministre,NOM,Y
minuit,NOM,n,Y,minuit,NOM,Y
minuscule,ADJ,n,Y,minuscule,ADJ,Y
minute,NOM,n,Y,minute,NOM,Y
miraculeux,ADJ,adj,Y,miraculeux,ADJ,Y
miser,VER,v,Y,miser,VER,Y
modeste,ADJ,adj,Y,modeste,ADJ,Y
modestement,ADV,adv,Y,modestement,ADV,Y
modestement,ADV,v,Y,modestement,ADV,Y
modèle,NOM,n,Y,modèle,NOM,Y
moi,NOM,n,Y,moi,NOM,Y
moi,PRO,n,N,moi,PRO,N
moi-même,PRO,n,N,moi-même,PRO,N
moindre,ADJ,adj,Y,moindre,ADJ,Y
moins,ADV,adv,Y,moins,ADV,Y
monarque,NOM,nc,Y,monarque,NOM,Y
monde,NOM,n,Y,monde,NOM,Y
monder,NOM,v,Y,monder,NOM,Y
monotone,ADJ,adj,Y,monotone,ADJ,Y
monotonie,NOM,n,Y,monotonie,NOM,Y
montagne,NOM,n,Y,montagne,NOM,Y
montrer,VER,v,Y,montrer,VER,Y
moquer,VER,v,Y,moquer,VER,Y
moraliste,NOM,n,Y,moraliste,NOM,Y
moralité,NOM,n,Y,moralité,NOM,Y
morde,VER,n,Y,morde,VER,Y
mordre,VER,v,Y,mordre,VER,Y
morsure,NOM,n,Y,1,,
mort,NOM,n,Y,11,,
mot,NOM,n,Y,4,,
moteur,NOM,n,Y,3,,
mouche,NOM,n,Y,1,,
mouchoir,NOM,n,Y,1,,
mouiller,VER,v,Y,1,,
mourir,VER,v,Y,6,,
mouton,NOM,n,Y,33,,
moutons,NOM,n,Y,6,,
mouvement,NOM,n,Y,2,,
moyen,NOM,n,Y,1,,
ms,ART,det,Y,47,,
mur,NOM,n,Y,5,,
muselière,NOM,n,Y,5,,
musique,NOM,n,Y,3,,
mystère,NOM,n,Y,2,,
mystère,NOM,nc,Y,1,,
mystérieux,ADJ,adj,Y,3,,
mâcher,VER,n,Y,1,,
mèche,NOM,n,Y,1,,
mètre,NOM,n,Y,1,,
mécanicien,NOM,nc,Y,1,,
méchanceté,NOM,nc,Y,1,,
méchant,ADJ,adj,Y,1,,
méditatif,ADJ,adj,Y,1,,
médité,VER,n,Y,1,,
mélancolie,NOM,n,Y,4,,
mélancolique,ADJ,adj,Y,2,,
mélange,VER,n,Y,1,,
mémoire,NOM,n,Y,1,,
mépriser,VER,v,Y,1,,
métal,NOM,n,Y,1,,
métier,NOM,n,Y,3,,
même,ADJ,adj,Y,2,,
même,ADV,adj,Y,4,,
même,ADV,adv,Y,18,,
naufragé,NOM,n,Y,1,,
navire,XXX,n,Y,1,,
naître,VER,v,Y,3,,
naïf,ADJ,n,Y,1,,
naïve,ADJ,v,Y,1,,
naïvement,ADV,adv,Y,1,,
naïves,ADJ,v,Y,1,,
ne,ADV,clneg,N,313,,
neige,NOM,n,Y,2,,
neuf,ADJ,adj,Y,1,,
nez,NOM,n,Y,1,,
ni,CON,coo,Y,15,,
noir,ADJ,n,Y,1,,
nom,NOM,n,Y,2,,
nombre,NOM,n,Y,1,,
nombreux,ADJ,adj,Y,1,,
non,ADV,adv,Y,22,,
nonchalance,NOM,n,Y,1,,
nord,NOM,n,Y,2,,
note,NOM,n,Y,1,,
noter,NOM,v,Y,1,,
noter,VER,v,Y,3,,
nouveau,ADJ,adj,Y,4,,
nouveau,ADJ,n,Y,6,,
nuit,NOM,n,Y,19,,
nul,ADJ,adj,Y,1,,
numéro,NOM,n,Y,3,,
numéro,NOM,nc,Y,4,,
numéro,NOM,v,Y,1,,
nègre,NOM,adj,Y,1,,
négliger,VER,v,Y,1,,
objecter,VER,v,Y,1,,
objet,NOM,n,Y,1,,
obliger,VER,v,Y,1,,
obéir,VER,v,Y,5,,
obéissance,NOM,n,Y,1,,
occupation,NOM,n,Y,2,,
occupe,VER,n,Y,1,,
occuper,VER,v,Y,4,,
océan,NOM,n,Y,3,,
oeil,NOM,n,Y,4,,
oiseau,NOM,n,Y,3,,
oiseau,NOM,nc,Y,1,,
oisiveté,NOM,n,Y,1,,
ombrageux,ADJ,adj,Y,1,,
onze,ADJ,n,Y,3,,
onze,ADJ,nc,Y,1,,
opinion,NOM,n,Y,1,,
opéra,NOM,n,Y,1,,
or,NOM,n,Y,4,,
ordinaire,ADJ,adj,Y,2,,
ordonner,VER,v,Y,9,,
ordre,NOM,n,Y,7,,
oreille,NOM,n,Y,2,,
orgueil,NOM,n,Y,1,,
orgueilleuse,ADJ,v,Y,1,,
origine,NOM,n,Y,1,,
orner,VER,v,Y,1,,
oser,VER,v,Y,3,,
ou,CON,coo,N,24,,
oublier,VER,n,Y,3,,
oublier,VER,v,Y,11,,
oui,ADV,n,Y,6,,
outil,NOM,n,Y,1,,
ouvert,VER,adj,Y,1,,
ouvrir,ADJ,v,Y,3,,
ouvrir,VER,v,Y,3,,
p,ART,det,N,11,,
pacifique,ADJ,n,Y,1,,
pain,NOM,n,Y,1,,
paix,NOM,n,Y,1,,
pan,ONO,n,Y,1,,
panne,NOM,n,Y,3,,
papier,NOM,n,Y,3,,
papillon,NOM,n,Y,4,,
paquet,NOM,n,Y,1,,
par,PRE,prep,Y,48,,
par,VER,n,Y,2,,
paravent,NOM,n,Y,1,,
paravent,NOM,nc,Y,2,,
paraître,VER,v,Y,9,,
pardon,ONO,v,Y,1,,
pardonner,VER,v,Y,1,,
paresseux,ADJ,adj,Y,1,,
paresseux,ADJ,n,Y,1,,
parfait,XXX,v,Y,1,,
parfois,ADV,adv,Y,1,,
parlais,VER,n,Y,1,,
parler,VER,v,Y,13,,
parles,VER,n,Y,1,,
part,NOM,n,Y,7,,
partir,VER,v,Y,2,,
partout,ADV,adv,Y,1,,
parvenir,VER,v,Y,3,,
pas,ADV,adv,N,177,,
pas,ADV,n,N,2,,
passager,NOM,n,Y,1,,
passant,VER,n,Y,1,,
passer,VER,v,Y,5,,
patience,NOM,n,Y,1,,
patient,NOM,n,Y,1,,
patte,NOM,n,Y,1,,
pauvre,ADJ,n,Y,1,,
pays,NOM,n,Y,1,,
peine,NOM,n,Y,10,,
peiner,VER,v,Y,1,,
peintre,NOM,nc,Y,2,,
pencher,VER,v,Y,3,,
pendant,ADJ,adj,Y,1,,
pendant,PRE,prep,Y,4,,
penser,VER,v,Y,4,,
pensum,NOM,n,Y,1,,
pensée,NOM,n,Y,1,,
perdre,VER,v,Y,6,,
perdu,VER,n,Y,1,,
perfectionné,VER,adj,Y,1,,
perfore,VER,n,Y,1,,
perplexe,ADJ,adj,Y,1,,
personne,NOM,n,Y,21,,
personne,PRO,n,Y,10,,
personne,PRO,v,Y,8,,
peser,VER,v,Y,1,,
petit,ADJ,adj,Y,217,,
petite,ADJ,v,Y,1,,
peu,NOM,adv,Y,41,,
peuple,NOM,n,Y,2,,
peupler,VER,v,Y,1,,
peur,NOM,n,Y,9,,
peut-être,ADV,adv,N,1,,
peut-être,ADV,adv,Y,8,,
peut-être,VER,adv,N,1,,
pied,NOM,n,Y,2,,
pierre,NOM,n,Y,4,,
piloter,VER,v,Y,1,,
pilule,NOM,n,Y,1,,
piquet,NOM,n,Y,1,,
pire,ADJ,adj,Y,1,,
pitié,NOM,nc,Y,1,,
place,NOM,n,Y,8,,
placer,VER,v,Y,1,,
plaindre,VER,v,Y,2,,
plaire,VER,v,Y,4,,
plaisir,NOM,n,Y,4,,
plante,NOM,n,Y,2,,
planète,NOM,n,Y,59,,
planète,NOM,nc,Y,7,,
plein,ADJ,adj,Y,1,,
pleines,ADJ,n,Y,1,,
pleurer,VER,v,Y,8,,
pli,NOM,n,Y,1,,
plonger,VER,v,Y,2,,
plus,ADV,adv,Y,62,,
plutôt,ADV,adv,Y,1,,
poche,NOM,n,Y,4,,
point,NOM,n,Y,7,,
pointu,ADJ,adj,Y,1,,
poliment,ADV,adv,Y,2,,
politique,NOM,n,Y,1,,
pommier,NOM,n,Y,1,,
ponctuellement,ADV,adv,Y,1,,
population,NOM,n,Y,1,,
porter,VER,v,Y,1,,
portrait,NOM,n,Y,2,,
portée,NOM,n,Y,1,,
poser,VER,v,Y,6,,
possible,ADJ,adj,Y,3,,
possèdes,VER,n,Y,1,,
posséder,VER,v,Y,14,,
poule,NOM,n,Y,5,,
poulie,NOM,n,Y,7,,
poupée,NOM,n,Y,1,,
pour,PRE,prep,Y,99,,
pourpre,ADJ,n,Y,1,,
pourquoi,ADV,adv,Y,7,,
poursuivre,VER,v,Y,5,,
pourtant,ADV,adv,Y,1,,
pousse,VER,n,Y,1,,
pousser,VER,v,Y,2,,
pouvoir,CON,v,Y,1,,
pouvoir,VER,v,Y,42,,
poétique,ADJ,adj,Y,1,,
premier,ADJ,adj,Y,11,,
prendre,VER,v,Y,12,,
presser,VER,v,Y,2,,
preuve,NOM,n,Y,4,,
prince,NOM,n,Y,171,,
prix,NOM,n,Y,1,,
problème,NOM,n,Y,3,,
prochain,ADJ,adj,Y,2,,
proche,ADJ,adj,Y,1,,
profiter,VER,v,Y,1,,
proie,NOM,v,Y,1,,
projet,NOM,n,Y,1,,
promener,VER,v,Y,2,,
promesse,NOM,n,Y,2,,
promène,VER,n,Y,1,,
prononcer,VER,v,Y,1,,
proposer,VER,v,Y,1,,
proposition,NOM,n,Y,1,,
protéger,VER,v,Y,2,,
provision,NOM,n,Y,1,,
près,PRE,adv,Y,2,,
préambule,NOM,nc,Y,1,,
précieux,ADJ,adj,Y,1,,
précis,ADJ,adj,Y,1,,
précision,NOM,n,Y,1,,
précédent,ADJ,n,Y,1,,
préférer,VER,v,Y,1,,
préparatif,NOM,n,Y,1,,
préparer,VER,v,Y,5,,
présence,NOM,n,Y,2,,
prêt,ADJ,adj,Y,1,,
public,ADJ,adj,Y,1,,
puisque,CON,csu,Y,10,,
puisque,XXX,csu,Y,2,,
puissant,ADJ,adj,Y,1,,
puissant,ADJ,v,Y,1,,
puits,NOM,n,Y,7,,
puits,NOM,nc,Y,4,,
pur,ADJ,n,Y,1,,
pâle,ADJ,adj,Y,1,,
pâle,ADJ,v,Y,2,,
père,NOM,n,Y,1,,
pétale,NOM,n,Y,3,,
pôle,NOM,n,Y,2,,
qu',XXX,adv,N,4,,
quand,CON,adv,Y,1,,
quand,CON,csu,Y,45,,
quarante,ADJ,n,Y,3,,
quarante-quatre,NUM,n,Y,2,,
quatre,ADJ,n,Y,10,,
quatrième,ADJ,adj,Y,2,,
que,PRO,adv,N,7,,
quel,ADJ,det,Y,4,,
quelconque,ADJ,adj,Y,1,,
quelqu'un,PRO,pro,N,2,,
quelqu'un,PRO,pro,Y,1,,
quelqu'un,XXX,pro,Y,1,,
quelque,ADJ,det,Y,13,,
quelquefois,ADV,adv,Y,4,,
question,NOM,n,Y,14,,
questionner,VER,v,Y,1,,
quinze,ADJ,nc,Y,1,,
quinze,ADJ,np,Y,1,,
quitter,VER,v,Y,4,,
racine,NOM,n,Y,2,,
raconter,VER,v,Y,5,,
radeau,NOM,n,Y,1,,
radis,NOM,n,Y,1,,
raison,NOM,n,Y,2,,
raisonnable,ADJ,adj,Y,5,,
raisonnement,NOM,n,Y,1,,
raisonner,VER,v,Y,1,,
ralluma,VER,n,Y,1,,
rallumer,VER,n,Y,1,,
rallumer,VER,v,Y,2,,
ramena,VER,n,Y,1,,
ramoner,VER,v,Y,3,,
ramoner,XXX,v,Y,3,,
rancune,NOM,n,Y,1,,
rang,NOM,n,Y,1,,
rapide,ADJ,adj,Y,4,,
rapide,ADJ,n,Y,1,,
rappeler,VER,v,Y,3,,
rapporte,VER,n,Y,1,,
rare,ADJ,adj,Y,1,,
rare,ADJ,v,Y,1,,
rassura,VER,n,Y,1,,
rassurer,VER,v,Y,2,,
rat,NOM,nc,Y,2,,
ravir,ADJ,v,Y,1,,
ravissant,ADJ,adj,Y,1,,
ravissante,ADJ,n,Y,1,,
rayonnement,NOM,n,Y,2,,
rayonnement,NOM,v,Y,1,,
rayonner,VER,v,Y,1,,
recevoir,VER,v,Y,4,,
recommencer,VER,v,Y,1,,
recommença,VER,n,Y,1,,
recompte,VER,n,Y,1,,
reconnaître,VER,v,Y,4,,
redescendre,VER,v,Y,1,,
redevenir,VER,v,Y,1,,
refaire,VER,v,Y,3,,
refuser,VER,v,Y,1,,
regard,NOM,n,Y,1,,
regarda,VER,n,Y,3,,
regarde,VER,n,Y,1,,
regarder,VER,adv,Y,1,,
regarder,VER,v,Y,20,,
regarderas,VER,n,Y,1,,
registre,NOM,n,Y,1,,
regret,NOM,n,Y,2,,
regretter,VER,v,Y,2,,
regrettes,VER,n,Y,1,,
rejoindre,VER,n,Y,2,,
relever,VER,v,Y,1,,
remarquer,VER,v,Y,4,,
remettre,VER,v,Y,3,,
remord,NOM,n,Y,1,,
remuer,VER,v,Y,1,,
renard,NOM,n,Y,34,,
renard,NOM,nc,Y,2,,
rencontrer,NOM,v,Y,1,,
rencontrer,VER,v,Y,2,,
rendez-vous,NOM,n,Y,1,,
rendre,VER,v,Y,2,,
rends,VER,n,Y,1,,
renoncer,VER,v,Y,3,,
rentrer,VER,v,Y,3,,
repartir,VER,v,Y,2,,
repos,NOM,n,Y,1,,
reposer,VER,v,Y,4,,
reprendre,VER,v,Y,4,,
reproche,NOM,n,Y,1,,
représenter,VER,v,Y,3,,
respecter,VER,v,Y,1,,
respectueusement,ADV,v,Y,1,,
respirer,VER,v,Y,3,,
responsable,ADJ,adj,Y,5,,
ressemblants,ADJ,n,Y,1,,
ressembler,VER,v,Y,12,,
reste,VER,n,Y,2,,
rester,VER,v,Y,3,,
retenir,VER,v,Y,1,,
retournais,VER,n,Y,1,,
retourner,VER,v,Y,1,,
retrouver,VER,v,Y,2,,
revenir,VER,v,Y,9,,
reviendras,VER,n,Y,1,,
revoir,NOM,v,Y,3,,
revoir,VER,v,Y,1,,
revolver,NOM,v,Y,1,,
rhumatisme,NOM,n,Y,1,,
rhume,NOM,n,Y,1,,
riche,ADJ,adj,Y,3,,
riche,ADJ,v,Y,1,,
ridicule,ADJ,adj,Y,2,,
rien,PRO,pro,Y,45,,
rire,VER,n,Y,7,,
rire,VER,v,Y,17,,
risque,NOM,n,Y,2,,
risquer,NOM,v,Y,1,,
rite,NOM,n,Y,3,,
roc,NOM,n,Y,1,,
roc,NOM,nc,Y,1,,
